# TStart[MJD] TEnd[MJD] Flux[ph/cm^2/s] Flux_error[ph/cm^22/s] TS
56565.65527 56572.65527 1.89260e-08 1.66112e-08 1.90739
56572.65527 56579.65527 2.45588e-12 1.10989e-13 -0.00015
56579.65527 56586.65527 2.45588e-12 4.03509e-14 -0.00019
56586.65527 56593.65527 3.53721e-09 1.43061e-08 0.06688
56593.65527 56600.65527 1.98526e-08 1.52844e-08 2.62084
56600.65527 56607.65527 1.24795e-08 1.18489e-08 1.91751
56607.65527 56614.65527 2.22309e-08 1.68827e-08 4.81575
56614.65527 56621.65527 4.01323e-08 1.83617e-08 12.46690
56621.65527 56628.65527 2.45589e-12 5.05935e-13 -0.00002
56628.65527 56635.65527 1.06132e-08 2.04964e-08 0.35854
56635.65527 56642.65527 9.29876e-09 1.93780e-08 0.30568
56642.65527 56649.65527 2.00255e-08 1.69941e-08 3.05413
56649.65527 56656.65527 6.54556e-09 1.02862e-08 0.66742
56656.65527 56663.65527 4.18659e-08 2.38488e-08 7.79519
56663.65527 56670.65527 2.45589e-12 4.01278e-13 -0.00000
56670.65527 56677.65527 2.43712e-09 1.46021e-08 0.03469
56677.65527 56684.65527 2.63074e-08 1.74375e-08 4.64743
56684.65527 56691.65527 2.45588e-12 2.23861e-15 -0.00049
56691.65527 56698.65527 2.45588e-12 7.22171e-14 -0.00026
56698.65527 56705.65527 6.31022e-09 1.37303e-08 0.27508
56705.65527 56712.65527 2.82111e-08 1.72328e-08 5.52919
56712.65527 56719.65527 8.00298e-08 4.80540e-08 5.55577
56719.65527 56726.65527 2.26537e-08 2.15887e-08 2.11155
56726.65527 56733.65527 1.44425e-09 1.73707e-08 0.00777
56733.65527 56740.65527 5.82742e-08 2.55804e-08 12.02520
56740.65527 56747.65527 7.25943e-08 2.92338e-08 16.58050
56747.65527 56754.65527 2.18602e-08 1.26752e-08 5.19181
56754.65527 56761.65527 2.77373e-08 2.05846e-08 2.87088
56761.65527 56768.65527 4.91540e-08 2.51994e-08 8.33291
56768.65527 56775.65527 1.63136e-07 3.53430e-08 69.25680
56775.65527 56782.65527 7.74745e-08 2.31331e-08 33.29560
56782.65527 56789.65527 1.05708e-07 2.82825e-08 33.07710
56789.65527 56796.65527 1.07849e-07 2.77115e-08 57.75270
56796.65527 56803.65527 1.79283e-07 3.46362e-08 88.03330
56803.65527 56810.65527 1.90158e-07 3.78901e-08 72.87940
56810.65527 56817.65527 1.00748e-07 3.90242e-08 16.04370
56817.65527 56824.65527 1.67299e-07 7.43295e-08 21.11540
56824.65527 56831.65527 2.40145e-07 3.76631e-08 136.76700
56831.65527 56838.65527 2.18557e-07 3.78043e-08 139.59400
56838.65527 56845.65527 1.23247e-07 2.91304e-08 47.24120
56845.65527 56852.65527 1.27918e-07 3.37524e-08 34.62910
56852.65527 56859.65527 6.43273e-08 2.80768e-08 14.44930
56859.65527 56866.65527 9.43469e-08 3.15330e-08 20.35940
56866.65527 56873.65527 2.76764e-08 1.91145e-08 6.11950
56873.65527 56880.65527 1.74106e-08 1.85248e-08 1.89997
56880.65527 56887.65527 2.45588e-12 5.58599e-14 -0.00024
56887.65527 56894.65527 2.45594e-12 2.01513e-12 -0.00013
56894.65527 56901.65527 4.31638e-08 2.18633e-08 10.08980
56901.65527 56908.65527 1.37150e-08 1.96006e-08 0.69640
56908.65527 56915.65527 5.52716e-08 2.51319e-08 9.67850
56915.65527 56922.65527 3.54959e-08 1.98320e-08 8.49032
56922.65527 56929.65527 1.84140e-08 2.10395e-08 1.17298
56929.65527 56936.65527 1.08438e-09 8.06343e-09 0.00382
56936.65527 56943.65527 2.45588e-12 2.20041e-15 -0.00057
56943.65527 56950.65527 2.45588e-12 5.66499e-14 -0.00026
56950.65527 56957.65527 2.83116e-08 2.24698e-08 2.82123
56957.65527 56964.65527 2.21353e-09 1.65588e-08 0.01858
56964.65527 56971.65527 4.25071e-08 2.12059e-08 9.77301
56971.65527 56978.65527 1.85874e-08 1.23147e-08 8.93630
56978.65527 56985.65527 4.01572e-08 2.39377e-08 9.19680
56985.65527 56992.65527 2.41035e-08 1.57394e-08 10.79210
56992.65527 56999.65527 2.97275e-08 1.93504e-08 5.37436
56999.65527 57006.65527 2.28028e-08 1.51379e-08 8.46754
57006.65527 57013.65527 9.47784e-08 2.29587e-08 60.72410
57013.65527 57020.65527 1.65399e-07 2.94851e-08 104.02300
57020.65527 57027.65527 1.11134e-07 2.46523e-08 53.07580
57027.65527 57034.65527 6.86969e-08 2.30444e-08 23.98210
57034.65527 57041.65527 7.97810e-08 2.41532e-08 23.42960
57041.65527 57048.65527 1.30472e-07 2.68051e-08 64.12840
57048.65527 57055.65527 1.67906e-07 3.20908e-08 79.74410
57055.65527 57062.65527 1.24014e-07 2.92958e-08 55.45630
57062.65527 57069.65527 9.26615e-08 2.83647e-08 22.62710
57069.65527 57076.65527 7.48994e-08 2.41349e-08 37.76930
57076.65527 57083.65527 7.72641e-08 2.36917e-08 24.23210
57083.65527 57090.65527 6.91139e-08 2.41337e-08 17.83270
57090.65527 57097.65527 6.65587e-08 2.54627e-08 19.44910
57097.65527 57104.65527 1.02555e-07 3.37348e-08 22.97970
57104.65527 57111.65527 8.98604e-08 2.93756e-08 26.90890
57111.65527 57118.65527 7.22750e-08 2.98158e-08 13.37710
57118.65527 57125.65527 1.19148e-07 2.92779e-08 41.87510
57125.65527 57132.65527 6.00650e-08 2.15960e-08 24.20630
57132.65527 57139.65527 1.45778e-07 2.84234e-08 89.06550
57139.65527 57146.65527 3.24399e-07 3.83677e-08 253.61200
57146.65527 57153.65527 2.58585e-07 3.35855e-08 182.10600
57153.65527 57160.65527 2.27435e-07 3.69804e-08 127.10700
57160.65527 57167.65527 9.79109e-08 2.95660e-08 23.41820
57167.65527 57174.65527 4.64902e-08 2.07088e-08 11.68610
57174.65527 57181.65527 1.29343e-07 3.05762e-08 48.18890
57181.65527 57188.65527 1.94361e-07 3.51471e-08 115.03800
57188.65527 57195.65527 2.09725e-07 2.93043e-08 177.21700
57195.65527 57202.65527 1.91156e-07 3.07676e-08 118.28000
57202.65527 57209.65527 1.87086e-07 3.16230e-08 127.15700
57209.65527 57216.65527 1.37541e-07 2.89946e-08 76.18390
57216.65527 57223.65527 1.04759e-07 2.81359e-08 42.84860
57223.65527 57230.65527 7.62598e-08 2.70840e-08 17.63000
57230.65527 57237.65527 4.27665e-08 1.98479e-08 11.02480
57237.65527 57244.65527 9.28205e-08 2.33699e-08 52.89700
57244.65527 57251.65527 1.51084e-07 2.73459e-08 100.63300
57251.65527 57258.65527 9.95255e-08 2.51287e-08 43.56700
57258.65527 57265.65527 1.92184e-07 3.26836e-08 97.99070
57265.65527 57272.65527 1.37654e-07 3.52606e-08 45.49750
57272.65527 57279.65527 9.91610e-08 3.01216e-08 27.90070
57279.65527 57286.65527 8.60934e-08 2.63520e-08 28.38780
57286.65527 57293.65527 1.07544e-07 2.62303e-08 50.05800
57293.65527 57300.65527 1.39937e-07 2.95016e-08 67.21510
57300.65527 57307.65527 1.11451e-07 2.69281e-08 43.95310
